no,id,title,subtitle,children,shape,x,y,w,h,nx,ny,nw,nh,color
1,irwonsang,일원상,원불교 신앙과 수행의 표준,,circle,410,88,176,176,0.41,0.062191,0.176,0.124382,#e53935
2,jieun-boeun,지은보은,은혜를 알고 은혜에 보답함,,rect,71,282,85,237,0.071,0.199293,0.085,0.167491,#8e24aa
3,in-gwa-boeung,인과보응의 신앙문,사은과 보은의 신앙 구조,사은,rect,164,335,229,86,0.164,0.236749,0.229,0.060777,#5e35b1
4,saeun,사은,천지은 · 부모은 · 동포은 · 법률은,천지은 | 부모은 | 동포은 | 법률은,rect,164,428,229,230,0.164,0.302473,0.229,0.162544,#1e88e5
5,sayo,사요,자력양성 · 지자본위 · 타자녀교육 · 공도자숭배,자력양성 | 지자본위 | 타자녀교육 | 공도자숭배,rect,164,667,229,258,0.164,0.471378,0.229,0.182332,#00acc1
6,boeun-jeuk-bulgong,보은즉불공,사사불공 · 처처불상,사사불공 | 처처불상,rect,164,934,229,229,0.164,0.660071,0.229,0.161837,#43a047
7,mua-bonggong,무아봉공,나를 비우고 공익에 봉사함,,rect,71,1052,85,244,0.071,0.743463,0.085,0.172438,#7cb342
8,irwon-core,일원상 핵심 문구,일원은 우주만유의 본원,,rect,402,335,197,381,0.402,0.236749,0.197,0.269258,#f4511e
9,gesong,일원상 게송,교리도 중앙 게송,,rect,402,724,197,439,0.402,0.511661,0.197,0.310247,#fb8c00
10,jingong-myoyu,진공묘유의 수행문,삼학과 팔조의 수행 구조,삼학 | 팔조,rect,609,335,205,86,0.609,0.236749,0.205,0.060777,#3949ab
11,samhak,삼학,정신수양 · 사리연구 · 작업취사,정신수양 | 사리연구 | 작업취사,rect,609,428,205,234,0.609,0.302473,0.205,0.165371,#039be5
12,paljo,팔조,신 · 분 · 의 · 성 / 불신 · 탐욕 · 나 · 우,신 | 분 | 의 | 성 | 불신 | 탐욕 | 나 | 우,rect,609,672,205,255,0.609,0.474912,0.205,0.180212,#d81b60
13,dongjeong-gan-bulri-seon,동정간불리선,무시선 · 무처선,무시선 | 무처선,rect,609,936,205,227,0.609,0.661484,0.205,0.160424,#00897b
14,jeonggak-jeonghaeng,정각정행,바르게 깨닫고 바르게 행함,,rect,841,282,72,237,0.841,0.199293,0.072,0.167491,#6d4c41
15,bulbeop-hwalyong,불법활용,불법을 생활 속에 활용함,,rect,841,1052,72,244,0.841,0.743463,0.072,0.172438,#546e7a
16,gyorido-title,교리도,원불교 교리 구조 전체,,rect,365,1178,270,90,0.365,0.832509,0.27,0.063604,#fdd835
